132	FDMMX	Oct 20, 2017	12.26	Jul 24, 2017	12.15	0.90535736	12.25	0.08163452
133	FFIGX	Sep 06, 2017	15.58	Jun 07, 2017	15.44	0.9067383	15.58	0.0
134	FFKEX	Sep 13, 2017	16.31	Jun 14, 2017	16.16	0.9282074	16.28	0.18426514
135	PRINX	Oct 20, 2017	11.96	Jul 24, 2017	11.85	0.92826843	11.96	0.0
136	VWESX	Oct 20, 2017	10.57	Jul 24, 2017	10.47	0.95510864	10.66	-0.84428406
137	SMTFX	Oct 20, 2017	10.49	Jul 24, 2017	10.39	0.9624634	10.47	0.19102478
138	PLMDX	Oct 20, 2017	9.29	Jul 24, 2017	9.2	0.97826385	9.34	-0.5353317
139	FSDCX	Oct 20, 2017	35.18	Jul 24, 2017	34.83	1.0048752	34.75	1.2374191
140	NKX	Oct 20, 2017	15.8	Jul 24, 2017	15.64	1.0230179	15.79	0.06333923	*P*
141	FSRRX	Oct 20, 2017	8.84	Jul 24, 2017	8.75	1.0285721	8.88	-0.45044708
142	FSMEX	Oct 20, 2017	47.08	Jul 24, 2017	46.6	1.0300522	46.34	1.5968933
143	FRESX	Oct 20, 2017	42.13	Jul 24, 2017	41.7	1.0311737	42.77	-1.496376
144	NHINX	Oct 20, 2017	8.8	Jul 24, 2017	8.71	1.0332947	8.79	0.11376953
145	VWLTX	Oct 20, 2017	11.7	Jul 24, 2017	11.58	1.0362625	11.71	-0.08540344
146	VOHIX	Oct 20, 2017	12.67	Jul 24, 2017	12.54	1.0366821	12.67	0.0
147	FASIX	Oct 20, 2017	13.6	Jul 24, 2017	13.46	1.040123	13.63	-0.2201004
148	PFODX	Oct 20, 2017	10.66	Jul 24, 2017	10.55	1.0426483	10.66	0.0
149	BCHYX	Oct 20, 2017	10.63	Jul 24, 2017	10.52	1.0456238	10.64	-0.09398651
150	USTEX	Oct 20, 2017	13.43	Jul 24, 2017	13.29	1.0534286	13.43	0.0
151	FCTFX	Oct 20, 2017	13.06	Jul 24, 2017	12.92	1.0835876	13.04	0.15337372
152	PRFHX	Oct 20, 2017	12.06	Jul 24, 2017	11.93	1.0896912	12.06	0.0
153	VNQ	Oct 20, 2017	83.65	Jul 24, 2017	82.74	1.0998383	84.79	-1.3444977
