170	FIBFX	Sep 06, 2017	11.35	Jun 07, 2017	11.25	0.8888931	11.35	0.0
171	FFIGX	Sep 06, 2017	15.58	Jun 07, 2017	15.44	0.9067383	15.58	0.0
172	FHIFX	Dec 01, 2017	8.73	Sep 01, 2017	8.65	0.92485046	8.73	0.0
173	FFKEX	Sep 13, 2017	16.31	Jun 14, 2017	16.16	0.9282074	16.28	0.18426514
174	FPIOX	Dec 01, 2017	9.63	Sep 01, 2017	9.54	0.9433975	9.63	0.0
175	GASFX	Dec 01, 2017	30.9	Sep 01, 2017	30.61	0.94740295	30.37	1.7451401
176	SPHIX	Dec 01, 2017	8.98	Sep 01, 2017	8.89	1.0123596	8.98	0.0
177	VGHCX	Dec 01, 2017	214.33	Sep 01, 2017	212.08	1.0609131	211.64	1.2710342
178	VGHAX	Dec 01, 2017	90.42	Sep 01, 2017	89.47	1.0618057	89.29	1.2655411
179	REACX	Dec 01, 2017	29.43	Sep 01, 2017	29.12	1.0645599	29.63	-0.6749878
180	PASDX	Dec 01, 2017	12.2	Sep 01, 2017	12.07	1.0770569	12.24	-0.3267975
181	FRESX	Dec 01, 2017	42.63	Sep 01, 2017	42.17	1.090828	42.82	-0.44371796
182	FSRRX	Dec 01, 2017	8.93	Sep 01, 2017	8.83	1.132515	8.95	-0.22345734
183	ICF	Dec 01, 2017	102.78	Sep 01, 2017	101.62	1.1415024	103.06	-0.27168274
184	FFVNX	Sep 06, 2017	10.45	Jun 07, 2017	10.33	1.1616592	10.45	0.0
185	FEDFX	Sep 06, 2017	10.42	Jun 07, 2017	10.3	1.1650467	10.42	0.0
186	FFKFX	Sep 13, 2017	17.17	Jun 14, 2017	16.97	1.1785507	17.14	0.17503357
187	FASIX	Dec 01, 2017	13.68	Sep 01, 2017	13.52	1.1834259	13.69	-0.073036194
188	VBLTX	Dec 01, 2017	14.33	Sep 01, 2017	14.16	1.2005692	14.33	0.0
189	EEMV	Dec 01, 2017	59.17	Sep 01, 2017	58.45	1.2318115	60.4	-2.0364304
190	FKTHX	Sep 13, 2017	17.15	Jun 14, 2017	16.94	1.2396698	17.12	0.1752243
191	FSHNX	Dec 01, 2017	9.72	Sep 01, 2017	9.6	1.2499924	9.72	0.0
192	FLCKX	Dec 01, 2017	32.62	Sep 01, 2017	32.21	1.2728958	34.06	-4.227844
193	FLVCX	Dec 01, 2017	32.56	Sep 01, 2017	32.14	1.3067856	33.98	-4.1789246
194	FIRNX	Dec 01, 2017	58.25	Sep 01, 2017	57.49	1.3219681	58.27	-0.034324646
195	FIRMX	Dec 01, 2017	58.32	Sep 01, 2017	57.55	1.3379669	58.34	-0.0342865
196	FIAFX	Dec 01, 2017	11.33	Sep 01, 2017	11.18	1.3416748	11.33	0.0	*BT*
197	VNQ	Dec 01, 2017	84.59	Sep 01, 2017	83.47	1.3417969	84.95	-0.42377472
198	FIKFX	Dec 01, 2017	11.99	Sep 01, 2017	11.83	1.3524857	11.97	0.16708374
199	FFFAX	Dec 01, 2017	11.96	Sep 01, 2017	11.8	1.3559341	11.96	0.0
200	PCRIX	Dec 01, 2017	6.7	Sep 01, 2017	6.61	1.3615723	6.82	-1.7595367	*BT*
201	DODFX	Dec 01, 2017	45.97	Sep 01, 2017	45.31	1.4566269	46.72	-1.6053085
202	EEM	Dec 01, 2017	45.84	Sep 01, 2017	45.16	1.5057526	47.71	-3.91951
203	FIROX	Dec 01, 2017	59.43	Sep 01, 2017	58.54	1.5203247	59.44	-0.016822815
204	FCSSX	Dec 01, 2017	5.34	Sep 01, 2017	5.26	1.5209045	5.39	-0.9276428
205	FIRPX	Dec 01, 2017	58.69	Sep 01, 2017	57.8	1.5397873	58.71	-0.034065247
206	ASHR	Dec 01, 2017	30.24	Sep 01, 2017	29.77	1.5787735	31.53	-4.0913467
207	FFKHX	Sep 13, 2017	17.93	Jun 14, 2017	17.65	1.5864029	17.9	0.16759491
208	FFKGX	Sep 13, 2017	17.78	Jun 14, 2017	17.5	1.6000061	17.76	0.11261749
209	FSPTX	Dec 01, 2017	178.89	Sep 01, 2017	175.96	1.6651535	198.17	-9.729019
210	FEMEX	Dec 01, 2017	9.73	Sep 01, 2017	9.57	1.6718903	9.79	-0.61286926
211	FFSTX	Sep 06, 2017	17.44	Jun 07, 2017	17.15	1.6909714	17.44	0.0
212	RWX	Dec 01, 2017	39.41	Sep 01, 2017	38.74	1.7294769	39.35	0.15248108
213	FCSFX	Sep 06, 2017	5.23	Jun 07, 2017	5.14	1.7509689	5.23	0.0
214	VWESX	Dec 01, 2017	10.71	Sep 01, 2017	10.52	1.8060837	10.7	0.09346008
215	FTANX	Dec 01, 2017	11.24	Sep 01, 2017	11.04	1.8115845	11.25	-0.088890076
216	FFIVX	Dec 01, 2017	12.46	Sep 01, 2017	12.23	1.8806229	12.46	0.0	*BT*
217	FFFVX	Dec 01, 2017	12.8	Sep 01, 2017	12.56	1.9108276	12.8	0.0
218	JPI	Dec 01, 2017	25.02	Sep 01, 2017	24.55	1.9144669	25.25	-0.9108887
219	FIRQX	Dec 01, 2017	57.3	Sep 01, 2017	56.21	1.9391556	57.31	-0.017456055
220	JPS	Dec 01, 2017	10.29	Sep 01, 2017	10.09	1.9821625	10.29	0.0	*P*
221	FIRRX	Dec 01, 2017	53.73	Sep 01, 2017	52.67	2.0125427	53.73	0.0
222	FJIFX	Dec 01, 2017	13.56	Sep 01, 2017	13.29	2.031601	13.53	0.22172546
223	JPC	Dec 01, 2017	10.46	Sep 01, 2017	10.25	2.0487823	10.46	0.0
224	BULIX	Dec 01, 2017	18.89	Sep 01, 2017	18.49	2.16333	18.42	2.551567
225	FCIFX	Dec 01, 2017	13.01	Sep 01, 2017	12.72	2.2798767	13.01	0.0	*BT*
226	RYU	Dec 01, 2017	90.68	Sep 01, 2017	88.62	2.3245316	89.33	1.5112534	*P*
227	FFANX	Dec 01, 2017	11.84	Sep 01, 2017	11.57	2.3336258	11.85	-0.08438873
228	PRMTX	Dec 01, 2017	97.6	Sep 01, 2017	95.37	2.3382568	99.66	-2.0670319
229	FFFCX	Dec 01, 2017	16.45	Sep 01, 2017	16.07	2.3646622	16.44	0.060829163
230	FSLCX	Dec 01, 2017	19.31	Sep 01, 2017	18.86	2.3860016	20.18	-4.311203
231	FIRSX	Dec 01, 2017	54.47	Sep 01, 2017	53.2	2.3872147	54.46	0.018371582
232	FEMSX	Dec 01, 2017	21.21	Sep 01, 2017	20.71	2.414299	21.94	-3.3272629
233	FCVSX	Dec 01, 2017	28.55	Sep 01, 2017	27.87	2.4398956	28.77	-0.7646942
234	FKIFX	Dec 01, 2017	14.46	Sep 01, 2017	14.11	2.4805222	14.43	0.207901
235	FIRUX	Dec 01, 2017	59.19	Sep 01, 2017	57.74	2.5112534	59.18	0.01689148
236	PRHSX	Dec 01, 2017	75.52	Sep 01, 2017	73.65	2.5390244	74.34	1.5873108
237	FNORX	Dec 01, 2017	54.19	Sep 01, 2017	52.83	2.5742874	54.63	-0.80542755	*P*
238	VNQI	Dec 01, 2017	60.51	Sep 01, 2017	58.99	2.5766983	60.83	-0.526062	*P*
239	JHMH	Dec 01, 2017	31.08	Sep 01, 2017	30.24	2.7777786	30.4	2.236847
240	FIRVX	Dec 01, 2017	52.82	Sep 01, 2017	51.39	2.7826462	52.8	0.037887573
241	FFVIX	Dec 01, 2017	13.27	Sep 01, 2017	12.91	2.7885437	13.26	0.075408936	*BT*
242	FIREX	Dec 01, 2017	11.33	Sep 01, 2017	11.02	2.8130646	11.35	-0.17621613
243	FFVFX	Dec 01, 2017	13.68	Sep 01, 2017	13.3	2.8571472	13.68	0.0
244	FASMX	Dec 01, 2017	18.7	Sep 01, 2017	18.17	2.916893	18.72	-0.10682678
245	FSAMX	Dec 01, 2017	11.2	Sep 01, 2017	10.88	2.9411774	11.54	-2.9462738
246	ERUS	Dec 01, 2017	33.43	Sep 01, 2017	32.47	2.9565659	35.03	-4.5675125
247	FSMEX	Dec 01, 2017	47.62	Sep 01, 2017	46.25	2.9621582	48.1	-0.9979172
248	FIRWX	Dec 01, 2017	59.46	Sep 01, 2017	57.74	2.978859	59.43	0.050476074
249	FSESX	Dec 01, 2017	42.97	Sep 01, 2017	41.72	2.99617	45.07	-4.659416
250	FIXRX	Dec 01, 2017	54.49	Sep 01, 2017	52.9	3.0056686	54.46	0.05508423
251	FHLC	Dec 01, 2017	40.3	Sep 01, 2017	39.1	3.0690536	39.59	1.7933807
252	VHT	Dec 01, 2017	155.29	Sep 01, 2017	150.63	3.0936584	152.52	1.8161545
253	FMGKX	Dec 01, 2017	102.92	Sep 01, 2017	99.83	3.0952606	106.99	-3.8040924
254	PEQKX	Dec 01, 2017	35.53	Sep 01, 2017	34.46	3.1050415	36.15	-1.7150803	*BT*
255	JMIEX	Dec 01, 2017	28.87	Sep 01, 2017	28.0	3.1071396	30.08	-4.022606	*BT*
256	FLIFX	Dec 01, 2017	15.14	Sep 01, 2017	14.68	3.1335144	15.09	0.3313446
257	FMAGX	Dec 01, 2017	103.09	Sep 01, 2017	99.94	3.1518784	107.09	-3.735176
258	FDIFX	Dec 01, 2017	14.34	Sep 01, 2017	13.9	3.165474	14.33	0.06978607	*BT*
259	VWINX	Dec 01, 2017	27.26	Sep 01, 2017	26.42	3.1794052	27.06	0.7390976
260	FFFDX	Dec 01, 2017	16.87	Sep 01, 2017	16.35	3.1804352	16.86	0.059318542
261	VSS	Dec 01, 2017	116.79	Sep 01, 2017	113.16	3.2078476	118.25	-1.2346725
262	CGMFX	Dec 01, 2017	52.37	Sep 01, 2017	50.7	3.2938843	53.07	-1.3190155
263	HAO	Dec 01, 2017	29.19	Sep 01, 2017	28.23	3.4006348	30.29	-3.6315613
264	UGA	Dec 01, 2017	31.3	Sep 01, 2017	30.27	3.40271	32.17	-2.7043839
265	FIVLX	Dec 01, 2017	9.07	Sep 01, 2017	8.77	3.4207458	9.14	-0.76586914
266	FITWX	Dec 01, 2017	14.3	Sep 01, 2017	13.82	3.473236	14.29	0.06997681	*BT*
267	FSANX	Dec 01, 2017	12.79	Sep 01, 2017	12.36	3.4789658	12.81	-0.15613556
