162	FTABX	Oct 13, 2017	11.6	Jul 17, 2017	11.4	1.7543945	11.55	0.43289948
163	FIRMX	Oct 13, 2017	58.11	Jul 17, 2017	57.1	1.7688293	57.86	0.4320755
164	FVDFX	Oct 13, 2017	27.81	Jul 17, 2017	27.32	1.7935486	27.92	-0.39398956
165	FFFAX	Oct 13, 2017	11.91	Jul 17, 2017	11.7	1.7948761	11.86	0.42158508
166	FIAFX	Oct 13, 2017	11.3	Jul 17, 2017	11.1	1.8018036	11.25	0.44445038	*BT*
167	SPHIX	Oct 13, 2017	9.02	Jul 17, 2017	8.86	1.8058777	9.03	-0.11073303
168	FIRNX	Oct 13, 2017	58.06	Jul 17, 2017	57.03	1.8060684	57.81	0.43245697
169	GABUX	Oct 13, 2017	9.52	Jul 17, 2017	9.35	1.8181763	9.43	0.9543991
170	FVDKX	Oct 13, 2017	27.82	Jul 17, 2017	27.32	1.830162	27.94	-0.42949677
171	FHIGX	Oct 13, 2017	13.28	Jul 17, 2017	13.04	1.8404846	13.23	0.3779297
172	FSESX	Oct 13, 2017	46.12	Jul 17, 2017	45.28	1.8551254	46.72	-1.284256
173	FPHAX	Oct 13, 2017	19.47	Jul 17, 2017	19.11	1.8838272	19.51	-0.20502472
174	RWJ	Oct 13, 2017	67.49	Jul 17, 2017	66.23	1.9024506	68.81	-1.9183273
175	FIROX	Oct 13, 2017	59.18	Jul 17, 2017	58.06	1.9290314	58.92	0.44127655
176	FIRPX	Oct 13, 2017	58.44	Jul 17, 2017	57.33	1.9361496	58.19	0.42962646
177	FSCPX	Oct 13, 2017	39.29	Jul 17, 2017	38.53	1.972496	39.46	-0.43080902
178	YAFFX	Oct 13, 2017	22.21	Jul 17, 2017	21.78	1.9742813	21.99	1.0004501
179	FHIFX	Oct 13, 2017	8.77	Jul 17, 2017	8.6	1.976738	8.76	0.114151
180	FSICX	Oct 13, 2017	11.17	Jul 17, 2017	10.95	2.0091324	11.14	0.26929474
181	FSRIX	Oct 13, 2017	12.63	Jul 17, 2017	12.38	2.0193787	12.6	0.23809814	*BT*
