181	FFFAX	Oct 27, 2017	11.88	Jul 31, 2017	11.74	1.1925125	11.89	-0.084106445
182	FDVLX	Oct 27, 2017	121.72	Jul 31, 2017	120.26	1.2140427	122.73	-0.82294464
183	PFODX	Oct 27, 2017	10.68	Jul 31, 2017	10.55	1.2322311	10.66	0.18762207
184	FVLKX	Oct 27, 2017	121.91	Jul 31, 2017	120.42	1.2373428	122.92	-0.82167053
185	FKTHX	Sep 13, 2017	17.15	Jun 14, 2017	16.94	1.2396698	17.12	0.1752243
186	FSHNX	Oct 27, 2017	9.77	Jul 31, 2017	9.65	1.2435303	9.78	-0.102241516
187	FIRMX	Oct 27, 2017	57.99	Jul 31, 2017	57.27	1.2572021	58.0	-0.017234802
188	FIRNX	Oct 27, 2017	57.94	Jul 31, 2017	57.22	1.2583008	57.95	-0.01725769
189	FBIOX	Oct 27, 2017	219.44	Jul 31, 2017	216.69	1.2690887	227.58	-3.5767593	*P*
190	FSPHX	Oct 27, 2017	229.01	Jul 31, 2017	225.99	1.3363342	233.96	-2.1157532
191	FIROX	Oct 27, 2017	59.06	Jul 31, 2017	58.26	1.3731613	59.08	-0.033859253
192	RYU	Oct 27, 2017	88.33	Jul 31, 2017	87.13	1.3772583	88.72	-0.43958282	*P*
193	FIRPX	Oct 27, 2017	58.33	Jul 31, 2017	57.52	1.4082108	58.35	-0.03427124
194	FNMIX	Oct 27, 2017	16.36	Jul 31, 2017	16.13	1.4259186	16.44	-0.48661804
195	FCVSX	Oct 27, 2017	28.27	Jul 31, 2017	27.87	1.4352341	28.24	0.10623932
196	MNBAX	Oct 27, 2017	18.17	Jul 31, 2017	17.9	1.5083771	18.22	-0.2744217
197	FSENX	Oct 27, 2017	40.49	Jul 31, 2017	39.88	1.5295868	40.69	-0.49150848
198	FTANX	Oct 27, 2017	11.16	Jul 31, 2017	10.99	1.5468597	11.16	0.0
199	FFKHX	Sep 13, 2017	17.93	Jun 14, 2017	17.65	1.5864029	17.9	0.16759491
200	PASDX	Oct 27, 2017	12.09	Jul 31, 2017	11.9	1.5966415	12.13	-0.32976532
201	FFKGX	Sep 13, 2017	17.78	Jun 14, 2017	17.5	1.6000061	17.76	0.11261749
