157	YAFFX	Jun 07, 2017	21.42	Mar 08, 2017	20.92	2.3900604	0.8949661
158	FBNDX	Jun 07, 2017	7.93	Mar 08, 2017	7.74	2.4547806	0.12625122
159	FBIDX	Jun 07, 2017	11.66	Mar 08, 2017	11.38	2.4604568	0.17181396
160	VBMFX	Jun 07, 2017	10.81	Mar 08, 2017	10.55	2.4644623	0.18535614
161	FSCFX	Jun 07, 2017	14.13	Mar 08, 2017	13.79	2.465561	1.2903214
162	PRTIX	Jun 07, 2017	5.8	Mar 08, 2017	5.66	2.4735107	0.17271423
163	TGMNX	Jun 07, 2017	10.34	Mar 08, 2017	10.09	2.477707	0.09680939
164	FIROX	Jun 07, 2017	62.88	Mar 08, 2017	61.33	2.5273056	0.28707886
165	FIBFX	Jun 07, 2017	11.3	Mar 08, 2017	11.02	2.540825	0.17731476
166	FUBFX	Jun 07, 2017	11.66	Mar 08, 2017	11.37	2.5505676	0.17181396
167	BMBSX	Jun 07, 2017	11.99	Mar 08, 2017	11.69	2.5662994	0.2508316
168	FDVLX	Jun 07, 2017	117.06	Mar 08, 2017	114.13	2.5672455	0.71409607
169	RSP	Jun 09, 2017	92.6	Mar 08, 2017	90.28	2.569786	-0.30146027
170	FVLKX	Jun 07, 2017	117.19	Mar 08, 2017	114.23	2.5912628	0.7133026
171	FASIX	Jun 07, 2017	13.45	Mar 08, 2017	13.11	2.5934448	0.22354126
172	FDGKX	Jun 07, 2017	34.71	Mar 08, 2017	33.83	2.6012268	0.9304962
173	SPHIX	Jun 07, 2017	8.99	Mar 08, 2017	8.76	2.6255646	0.0
174	REACX	Jun 07, 2017	28.46	Mar 08, 2017	27.73	2.6325226	1.3171921
175	FSHFX	Jun 07, 2017	9.73	Mar 08, 2017	9.48	2.6371384	0.0
176	VWELX	Jun 07, 2017	41.15	Mar 08, 2017	40.09	2.6440506	0.5129547
177	FLTMX	Jun 07, 2017	10.42	Mar 08, 2017	10.15	2.6601105	0.09606171
178	GABUX	Jun 07, 2017	9.56	Mar 08, 2017	9.31	2.6852875	0.52575684
179	PTTDX	Jun 07, 2017	10.25	Mar 08, 2017	9.98	2.7054214	0.09765625
180	USVAX	Jun 07, 2017	11.38	Mar 08, 2017	11.08	2.7075882	0.26431274
181	FIRPX	Jun 07, 2017	63.95	Mar 08, 2017	62.26	2.7144318	0.29799652
182	USNYX	Jun 07, 2017	12.06	Mar 08, 2017	11.74	2.725731	0.24938965
183	PRHSX	Jun 07, 2017	68.19	Mar 08, 2017	66.37	2.7422104	2.0961304
184	FXZ	Jun 08, 2017	38.18	Mar 09, 2017	37.16	2.7448883	-0.15690613
185	FIAFX	Jun 07, 2017	11.08	Mar 08, 2017	10.78	2.7829285	0.18083191	*BT*
186	FLVCX	Jun 07, 2017	36.49	Mar 08, 2017	35.5	2.7887344	1.108345
187	FPCIX	Jun 07, 2017	10.64	Mar 08, 2017	10.35	2.8019333	0.37735748
188	PRVAX	Jun 07, 2017	12.09	Mar 08, 2017	11.76	2.8061295	0.33194733
189	FFFAX	Jun 07, 2017	11.68	Mar 08, 2017	11.36	2.8169022	0.25751495
190	FRESX	Jun 07, 2017	42.18	Mar 08, 2017	41.02	2.8278809	1.0057602	*P*
191	FFKAX	Jun 07, 2017	11.99	Mar 08, 2017	11.66	2.830185	0.2508316
192	FLCKX	Jun 07, 2017	36.57	Mar 08, 2017	35.56	2.840271	1.105896
193	MDXBX	Jun 07, 2017	10.85	Mar 08, 2017	10.55	2.843605	0.27726746
194	FOHIX	Jun 07, 2017	15.9	Mar 08, 2017	15.46	2.846054	1.0165253
195	USCBX	Jun 07, 2017	11.1	Mar 08, 2017	10.79	2.8730392	0.18050385
196	VEXMX	Jun 07, 2017	77.09	Mar 08, 2017	74.93	2.8826828	1.3142319
197	FSEMX	Jun 07, 2017	58.33	Mar 08, 2017	56.69	2.8929367	1.320137
198	PRNYX	Jun 07, 2017	11.73	Mar 08, 2017	11.4	2.8947372	0.2564087
199	FJIFX	Jun 07, 2017	13.12	Mar 08, 2017	12.75	2.9019623	0.3825531
200	FSEVX	Jun 07, 2017	58.34	Mar 08, 2017	56.68	2.9287186	1.3375015
201	IJS	Jun 08, 2017	139.76	Mar 09, 2017	135.77	2.9387817	0.6988983
202	FCVSX	Jun 07, 2017	27.97	Mar 08, 2017	27.17	2.9444199	0.7201996
203	FIRQX	Jun 07, 2017	63.24	Mar 08, 2017	61.43	2.9464493	0.36502838
204	SWNTX	Jun 07, 2017	11.79	Mar 08, 2017	11.45	2.969429	0.25509644
205	FSRIX	Jun 07, 2017	12.47	Mar 08, 2017	12.11	2.9727554	0.24115753	*BT*
206	USTEX	Jun 07, 2017	13.46	Mar 08, 2017	13.07	2.9839401	0.29805756
207	FSICX	Jun 07, 2017	11.03	Mar 08, 2017	10.71	2.9878616	0.27272797
208	BND	Jun 08, 2017	81.93	Mar 09, 2017	79.55	2.991829	0.14669037
209	VWINX	Jun 07, 2017	26.43	Mar 08, 2017	25.66	3.0007858	0.34169006
210	CGMRX	Jun 07, 2017	31.78	Mar 08, 2017	30.85	3.0145874	0.85687256
211	KYTFX	Jun 07, 2017	7.83	Mar 08, 2017	7.6	3.0263214	0.25608826
212	FMILX	Jun 07, 2017	38.68	Mar 08, 2017	37.54	3.0367584	0.9921646
213	FDEQX	Jun 07, 2017	36.23	Mar 08, 2017	35.16	3.0432358	0.9473419
214	FSDIX	Jun 07, 2017	15.39	Mar 08, 2017	14.93	3.081047	0.65402985
215	FIRRX	Jun 07, 2017	60.19	Mar 08, 2017	58.39	3.082718	0.3835907
216	PRPFX	Jun 07, 2017	39.72	Mar 08, 2017	38.53	3.0885086	0.78660583
217	BCITX	Jun 07, 2017	11.97	Mar 08, 2017	11.61	3.1007767	0.25125885
218	FDEKX	Jun 07, 2017	36.19	Mar 08, 2017	35.1	3.1054153	0.9765625
219	NTFIX	Jun 07, 2017	11.61	Mar 08, 2017	11.26	3.108345	0.34571838
220	GTFBX	Jun 07, 2017	11.59	Mar 08, 2017	11.24	3.1138763	0.34631348
221	SLYV	Jun 08, 2017	119.05	Mar 09, 2017	115.44	3.1271667	0.5744705
222	FIBAX	Jun 07, 2017	10.86	Mar 08, 2017	10.53	3.1339035	0.18450165
223	TIXRX	Jun 07, 2017	10.48	Mar 08, 2017	10.16	3.1496048	0.28707886
224	PENNX	Jun 07, 2017	11.39	Mar 08, 2017	11.04	3.170288	1.515152
225	FSAVX	Jun 07, 2017	35.46	Mar 08, 2017	34.37	3.1713715	1.1986237
226	FSHOX	Jun 07, 2017	62.42	Mar 08, 2017	60.49	3.1905975	0.9052658	*P*
227	FKIFX	Jun 07, 2017	13.89	Mar 08, 2017	13.46	3.1946564	0.4338379
228	FTANX	Jun 07, 2017	10.95	Mar 08, 2017	10.61	3.2045212	0.27471924
229	SEQUX	Jun 07, 2017	176.56	Mar 08, 2017	171.07	3.2092133	0.73026276
230	FICNX	Jun 07, 2017	11.52	Mar 08, 2017	11.16	3.2258148	0.26110077
231	FSRFX	Jun 07, 2017	93.53	Mar 08, 2017	90.6	3.2339935	1.607811
232	SMTFX	Jun 07, 2017	10.48	Mar 08, 2017	10.15	3.2512283	0.38314056
233	USATX	Jun 07, 2017	13.33	Mar 08, 2017	12.91	3.253296	0.22557068
234	FIRSX	Jun 07, 2017	63.65	Mar 08, 2017	61.64	3.260872	0.44184875
235	FIMIX	Jun 07, 2017	11.71	Mar 08, 2017	11.34	3.2627792	0.3427658
236	VCAIX	Jun 07, 2017	11.87	Mar 08, 2017	11.49	3.3072205	0.33812714
237	FPXTX	Jun 07, 2017	11.24	Mar 08, 2017	10.88	3.3088226	0.44683075
238	NOITX	Jun 07, 2017	10.6	Mar 08, 2017	10.26	3.3138428	0.28382874
239	VBIIX	Jun 07, 2017	11.51	Mar 08, 2017	11.14	3.3213654	0.26132965
240	FTFMX	Jun 07, 2017	13.36	Mar 08, 2017	12.93	3.325592	0.3003006
241	FSDCX	Jun 07, 2017	34.97	Mar 08, 2017	33.84	3.339241	1.9830856
242	FFIVX	Jun 07, 2017	12.04	Mar 08, 2017	11.65	3.3476486	0.41701508	*BT*
243	NCITX	Jun 07, 2017	10.78	Mar 08, 2017	10.43	3.3556976	0.279068
244	VTSMX	Jun 07, 2017	60.86	Mar 08, 2017	58.88	3.3627777	0.99568176
245	FSTMX	Jun 07, 2017	70.05	Mar 08, 2017	67.77	3.3643265	0.994812
246	NOTEX	Jun 07, 2017	10.74	Mar 08, 2017	10.39	3.3686142	0.2801056
247	SPY	Jun 08, 2017	243.78	Mar 09, 2017	235.83	3.3710709	0.1725769	*P*
248	PRINX	Jun 07, 2017	11.95	Mar 08, 2017	11.56	3.3736954	0.33584595
249	FEDCX	Jun 07, 2017	10.41	Mar 08, 2017	10.07	3.3763657	0.2890091
250	FFSMX	Jun 07, 2017	70.06	Mar 08, 2017	67.77	3.3790817	0.9946594
251	VB	Jun 08, 2017	135.64	Mar 09, 2017	131.2	3.3841476	0.45918274
252	IVV	Jun 08, 2017	245.32	Mar 09, 2017	237.28	3.3884048	0.17559814
253	PRXCX	Jun 07, 2017	11.59	Mar 08, 2017	11.21	3.3898315	0.34631348
254	FCBFX	Jun 07, 2017	11.58	Mar 08, 2017	11.2	3.3928604	0.2597351
255	FIRUX	Jun 07, 2017	64.18	Mar 08, 2017	62.07	3.3993835	0.4853592
256	VOO	Jun 08, 2017	223.76	Mar 09, 2017	216.4	3.4011154	0.16114807	*P*
257	FDEGX	Jun 07, 2017	37.8	Mar 08, 2017	36.55	3.4199677	0.7462616	*P*
258	FAGKX	Jun 07, 2017	38.07	Mar 08, 2017	36.81	3.4229736	0.7142868
259	VFINX	Jun 07, 2017	225.39	Mar 08, 2017	217.92	3.427864	0.9178848
260	FSDAX	Jun 07, 2017	141.44	Mar 08, 2017	136.72	3.4523163	-0.9870529
261	FUSEX	Jun 07, 2017	85.38	Mar 08, 2017	82.53	3.4532928	0.92198944
262	FUSVX	Jun 07, 2017	85.4	Mar 08, 2017	82.54	3.464981	0.92176056
263	NOAZX	Jun 07, 2017	10.73	Mar 08, 2017	10.37	3.47155	0.280365
264	FEDFX	Jun 07, 2017	10.41	Mar 08, 2017	10.06	3.479126	0.2890091
265	FSCDX	Jun 07, 2017	27.09	Mar 08, 2017	26.17	3.51548	1.1953735
266	FFFVX	Jun 07, 2017	12.36	Mar 08, 2017	11.94	3.5175934	0.48780823
267	FEMEX	Jun 07, 2017	8.82	Mar 08, 2017	8.52	3.5211182	-0.67567444
268	FFKVX	Jun 07, 2017	13.22	Mar 08, 2017	12.77	3.5238876	0.455925
269	FNMIX	Jun 07, 2017	16.39	Mar 08, 2017	15.83	3.5375824	0.24464417
270	BCLTX	Jun 07, 2017	11.7	Mar 08, 2017	11.3	3.5398254	0.3430481
271	FDMMX	Jun 07, 2017	12.26	Mar 08, 2017	11.84	3.5473022	0.32733917
272	VTI	Jun 09, 2017	125.29	Mar 08, 2017	120.99	3.5540085	0.23200226
273	XHB	Jun 08, 2017	37.87	Mar 09, 2017	36.57	3.5548248	-0.0791626
274	FCSAX	Jun 07, 2017	17.45	Mar 08, 2017	16.85	3.5608292	0.75058746
275	FIRVX	Jun 07, 2017	61.83	Mar 08, 2017	59.7	3.5678406	0.5202408
276	FCTFX	Jun 07, 2017	13.04	Mar 08, 2017	12.59	3.5742645	0.30769348
277	DRTAX	Jun 07, 2017	11.84	Mar 08, 2017	11.43	3.5870514	0.33898163
278	FTABX	Jun 07, 2017	11.55	Mar 08, 2017	11.15	3.5874481	0.17346191
279	FLIFX	Jun 07, 2017	14.43	Mar 08, 2017	13.93	3.5893784	0.5574951
280	FNJHX	Jun 07, 2017	11.8	Mar 08, 2017	11.39	3.59964	0.42552948
281	FMHTX	Jun 07, 2017	12.27	Mar 08, 2017	11.84	3.6317596	0.32707214
282	PARWX	Jun 07, 2017	35.51	Mar 08, 2017	34.26	3.6485672	0.7947693
283	SWHFX	Jun 07, 2017	24.26	Mar 08, 2017	23.4	3.675209	0.99916077
284	FHIGX	Jun 07, 2017	13.21	Mar 08, 2017	12.74	3.6891708	0.22761536
285	PRFHX	Jun 07, 2017	12.05	Mar 08, 2017	11.62	3.7005157	0.24957275
286	FFIDX	Jun 07, 2017	45.27	Mar 08, 2017	43.65	3.7113419	1.0942459
287	FPUKX	Jun 07, 2017	22.34	Mar 08, 2017	21.54	3.7140121	0.7213745
288	NCATX	Jun 07, 2017	11.72	Mar 08, 2017	11.3	3.7168121	0.25663757
289	FIRWX	Jun 07, 2017	63.16	Mar 08, 2017	60.89	3.728035	0.57325745
290	FMCSX	Jun 07, 2017	37.25	Mar 08, 2017	35.91	3.7315521	1.0306473
291	PBDDX	Jun 07, 2017	10.56	Mar 08, 2017	10.18	3.732811	0.2849121
292	FSAZX	Jun 07, 2017	12.2	Mar 08, 2017	11.76	3.7414932	0.49423218
